Entry	Entry name	Status	Gene names	Organism	Length	Mass	Gene encoded by	Version (sequence)
O60488	ACSL4_HUMAN	reviewed	ACSL4 ACS4 FACL4 LACS4	Homo sapiens (Human)	711	79,188		2
O60493	SNX3_HUMAN	reviewed	SNX3	Homo sapiens (Human)	162	18,762		3
O60506	HNRPQ_HUMAN	reviewed	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)	623	69,603		2
O60522	TDRD6_HUMAN	reviewed	TDRD6	Homo sapiens (Human)	2096	236,517		2
O60568	PLOD3_HUMAN	reviewed	PLOD3	Homo sapiens (Human)	738	84,785		1
O60613	SEP15_HUMAN	reviewed	SELENOF SEP15	Homo sapiens (Human)	165	18,092		4
O60641	AP180_HUMAN	reviewed	SNAP91 KIAA0656	Homo sapiens (Human)	907	92,502		2
O60662	KLH41_HUMAN	reviewed	KLHL41 KBTBD10 KRP1	Homo sapiens (Human)	606	68,037		2
O60664	PLIN3_HUMAN	reviewed	PLIN3 M6PRBP1 TIP47	Homo sapiens (Human)	434	47,075		3
O60684	IMA7_HUMAN	reviewed	KPNA6 IPOA7	Homo sapiens (Human)	536	60,030		1
O60701	UGDH_HUMAN	reviewed	UGDH	Homo sapiens (Human)	494	55,024		1
O60716	CTND1_HUMAN	reviewed	CTNND1 KIAA0384	Homo sapiens (Human)	968	108,170		1
O60739	EIF1B_HUMAN	reviewed	EIF1B	Homo sapiens (Human)	113	12,824		2
O60749	SNX2_HUMAN	reviewed	SNX2 TRG9	Homo sapiens (Human)	519	58,471		2
O60763	USO1_HUMAN	reviewed	USO1 VDP	Homo sapiens (Human)	962	107,895		2
O60783	RT14_HUMAN	reviewed	MRPS14	Homo sapiens (Human)	128	15,139		1
O60784	TOM1_HUMAN	reviewed	TOM1	Homo sapiens (Human)	492	53,818		2
O60826	CCD22_HUMAN	reviewed	CCDC22 CXorf37 JM1	Homo sapiens (Human)	627	70,756		1
O60831	PRAF2_HUMAN	reviewed	PRAF2 JM4	Homo sapiens (Human)	178	19,258		1
O60832	DKC1_HUMAN	reviewed	DKC1 NOLA4	Homo sapiens (Human)	514	57,674		3
O60841	IF2P_HUMAN	reviewed	EIF5B IF2 KIAA0741	Homo sapiens (Human)	1220	138,827		4
O60884	DNJA2_HUMAN	reviewed	DNAJA2 CPR3 HIRIP4	Homo sapiens (Human)	412	45,746		1
O60888	CUTA_HUMAN	reviewed	CUTA ACHAP C6orf82	Homo sapiens (Human)	179	19,116		2
O60890	OPHN1_HUMAN	reviewed	OPHN1	Homo sapiens (Human)	802	91,641		1
O75083	WDR1_HUMAN	reviewed	WDR1	Homo sapiens (Human)	606	66,194		4
O75112	LDB3_HUMAN	reviewed	LDB3 KIAA0613 ZASP	Homo sapiens (Human)	727	77,135		2
O75116	ROCK2_HUMAN	reviewed	ROCK2 KIAA0619	Homo sapiens (Human)	1388	160,900		4
O75131	CPNE3_HUMAN	reviewed	CPNE3 CPN3 KIAA0636	Homo sapiens (Human)	537	60,131		1
O75145	LIPA3_HUMAN	reviewed	PPFIA3 KIAA0654	Homo sapiens (Human)	1194	133,496		3
O75146	HIP1R_HUMAN	reviewed	HIP1R HIP12 KIAA0655	Homo sapiens (Human)	1068	119,388		2
O75147	OBSL1_HUMAN	reviewed	OBSL1 KIAA0657	Homo sapiens (Human)	1896	206,947		4
O75150	BRE1B_HUMAN	reviewed	RNF40 BRE1B KIAA0661	Homo sapiens (Human)	1001	113,678		5
O75153	CLU_HUMAN	reviewed	CLUH KIAA0664	Homo sapiens (Human)	1309	146,670		2
O75155	CAND2_HUMAN	reviewed	CAND2 KIAA0667 TIP120B	Homo sapiens (Human)	1236	135,256		3
O75165	DJC13_HUMAN	reviewed	DNAJC13 KIAA0678 RME8	Homo sapiens (Human)	2243	254,415		5
O75173	ATS4_HUMAN	reviewed	ADAMTS4 KIAA0688 UNQ769/PRO1563	Homo sapiens (Human)	837	90,197		3
O75179	ANR17_HUMAN	reviewed	ANKRD17 GTAR KIAA0697	Homo sapiens (Human)	2603	274,258		3
O75208	COQ9_HUMAN	reviewed	COQ9 C16orf49 HSPC326 PSEC0129	Homo sapiens (Human)	318	35,509		1
O75223	GGCT_HUMAN	reviewed	GGCT C7orf24 CRF21	Homo sapiens (Human)	188	21,008		1
O75251	NDUS7_HUMAN	reviewed	NDUFS7	Homo sapiens (Human)	213	23,564		3
O75306	NDUS2_HUMAN	reviewed	NDUFS2	Homo sapiens (Human)	463	52,546		2
O75323	NIPS2_HUMAN	reviewed	NIPSNAP2 GBAS	Homo sapiens (Human)	286	33,743		1
O75340	PDCD6_HUMAN	reviewed	PDCD6 ALG2	Homo sapiens (Human)	191	21,868		1
O75347	TBCA_HUMAN	reviewed	TBCA	Homo sapiens (Human)	108	12,855		3
O75348	VATG1_HUMAN	reviewed	ATP6V1G1 ATP6G ATP6G1 ATP6J	Homo sapiens (Human)	118	13,758		3
O75351	VPS4B_HUMAN	reviewed	VPS4B SKD1 VPS42 MIG1	Homo sapiens (Human)	444	49,302		2
O75367	H2AY_HUMAN	reviewed	MACROH2A1 H2AFY	Homo sapiens (Human)	372	39,617		4
O75368	SH3L1_HUMAN	reviewed	SH3BGRL	Homo sapiens (Human)	114	12,774		1
O75369	FLNB_HUMAN	reviewed	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	2602	278,164		2
O75380	NDUS6_HUMAN	reviewed	NDUFS6	Homo sapiens (Human)	124	13,712		1
O75390	CISY_HUMAN	reviewed	CS	Homo sapiens (Human)	466	51,712		2
O75391	SPAG7_HUMAN	reviewed	SPAG7	Homo sapiens (Human)	227	26,034		2
O75396	SC22B_HUMAN	reviewed	SEC22B SEC22L1	Homo sapiens (Human)	215	24,593		4
O75400	PR40A_HUMAN	reviewed	PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225	Homo sapiens (Human)	957	108,805		2
O75431	MTX2_HUMAN	reviewed	MTX2	Homo sapiens (Human)	263	29,763		1
O75436	VP26A_HUMAN	reviewed	VPS26A VPS26	Homo sapiens (Human)	327	38,170		2
O75438	NDUB1_HUMAN	reviewed	NDUFB1	Homo sapiens (Human)	58	6,961		1
O75439	MPPB_HUMAN	reviewed	PMPCB MPPB	Homo sapiens (Human)	489	54,366		2
O75462	CRLF1_HUMAN	reviewed	CRLF1 UNQ288/PRO327	Homo sapiens (Human)	422	46,302		1
O75489	NDUS3_HUMAN	reviewed	NDUFS3	Homo sapiens (Human)	264	30,242		1
O75494	SRS10_HUMAN	reviewed	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Homo sapiens (Human)	262	31,301		1
O75521	ECI2_HUMAN	reviewed	ECI2 DRS1 HCA88 PECI	Homo sapiens (Human)	394	43,585		4
O75531	BAF_HUMAN	reviewed	BANF1 BAF BCRG1	Homo sapiens (Human)	89	10,059		1
O75533	SF3B1_HUMAN	reviewed	SF3B1 SAP155	Homo sapiens (Human)	1304	145,830		3
O75534	CSDE1_HUMAN	reviewed	CSDE1 D1S155E KIAA0885 NRU UNR	Homo sapiens (Human)	798	88,885		2
O75569	PRKRA_HUMAN	reviewed	PRKRA PACT RAX HSD-14 HSD14	Homo sapiens (Human)	313	34,404		1
O75600	KBL_HUMAN	reviewed	GCAT KBL	Homo sapiens (Human)	419	45,285		1
O75608	LYPA1_HUMAN	reviewed	LYPLA1 APT1 LPL1	Homo sapiens (Human)	230	24,670		1
O75643	U520_HUMAN	reviewed	SNRNP200 ASCC3L1 HELIC2 KIAA0788	Homo sapiens (Human)	2136	244,508		2
O75663	TIPRL_HUMAN	reviewed	TIPRL	Homo sapiens (Human)	272	31,444		2
O75676	KS6A4_HUMAN	reviewed	RPS6KA4 MSK2	Homo sapiens (Human)	772	85,606		1
O75718	CRTAP_HUMAN	reviewed	CRTAP CASP	Homo sapiens (Human)	401	46,562		1
O75746	CMC1_HUMAN	reviewed	SLC25A12 ARALAR1	Homo sapiens (Human)	678	74,762		2
O75821	EIF3G_HUMAN	reviewed	EIF3G EIF3S4	Homo sapiens (Human)	320	35,611		2
O75822	EIF3J_HUMAN	reviewed	EIF3J EIF3S1 PRO0391	Homo sapiens (Human)	258	29,062		2
O75828	CBR3_HUMAN	reviewed	CBR3	Homo sapiens (Human)	277	30,850		3
O75832	PSD10_HUMAN	reviewed	PSMD10	Homo sapiens (Human)	226	24,428		1
O75874	IDHC_HUMAN	reviewed	IDH1 PICD	Homo sapiens (Human)	414	46,659		2
O75915	PRAF3_HUMAN	reviewed	ARL6IP5 DERP11 JWA PRA2 PRAF3 HSPC127	Homo sapiens (Human)	188	21,615		1
O75923	DYSF_HUMAN	reviewed	DYSF FER1L1	Homo sapiens (Human)	2080	237,295		1
O75935	DCTN3_HUMAN	reviewed	DCTN3 DCTN22	Homo sapiens (Human)	186	21,119		1
O75937	DNJC8_HUMAN	reviewed	DNAJC8 SPF31 HSPC315 HSPC331	Homo sapiens (Human)	253	29,842		2
O75947	ATP5H_HUMAN	reviewed	ATP5PD ATP5H My032	Homo sapiens (Human)	161	18,491		3
O75955	FLOT1_HUMAN	reviewed	FLOT1	Homo sapiens (Human)	427	47,355		3
O75964	ATP5L_HUMAN	reviewed	ATP5MG ATP5L	Homo sapiens (Human)	103	11,428		3
O75976	CBPD_HUMAN	reviewed	CPD	Homo sapiens (Human)	1380	152,931		2
O76003	GLRX3_HUMAN	reviewed	GLRX3 PICOT TXNL2 HUSSY-22	Homo sapiens (Human)	335	37,432		2
